ID,Type,Title,Status,Reason,Algo,Authors,Abstract,Categories,Published,DOI,PDF URL
ieee:6504145,conference,Channel capacity and soft-decision decoding of LDPC codes for spin-torque transfer magnetic random access memory (STT-MRAM),✅,"STT-MRAM용 short LDPC + RB-MS 디코딩 + capacity-max 양자화 설계, 메모리 ECC로 NAND 이식 가능(B/C)",✅ 알고리즘/코드 기여,"Kui Cai, Zhiliang Qin, Bingjin Chen","Spin-torque transfer magnetic random access memory (STT-MRAM) has emerged as a promising non-volatile memory (NVM) technology, featuring compelling advantages in scalability, speed, endurance, and power consumption. In this paper, we focus on large-capacity stand-alone STT-MRAM, and investigate the channel capacity and the viability of applying low-density parity-check (LDPC) codes with soft-decision decoding to correct the memory cell errors and improve the storage density of STT-MRAM. We propose to use LDPC codes with short codeword lengths, with the reliability-based min-sum (RB-MS) algorithm for decoding. Furthermore, we propose to use the capacity-maximization criterion to design the quantizer and minimize the number of quantization bits. Simulation results demonstrate the potential of applying short-block-length LDPC codes with soft-decision decoding to improve the yield and push the scaling limitation of STT-MRAM.",,28-31 Jan.,10.1109/ICCNC.2013.6504145,https://ieeexplore.ieee.org/document/6504145
ieee:6504218,conference,Design of LDPC coding schemes for exploitation of bit error rate diversity across dies in NAND flash memory,✅,"A/E: NAND 플래시 die간 BER diversity 활용 신규 LDPC 코드워드 spreading 설계 + density evolution 기반 코드 설계, 디코더 수정 포함",✅ 알고리즘/코드 기여,"Ravi Motwani, Chong Ong","LDPC codes have been proposed for Flash memories due to their capability to correct higher number of bit errors. Several mechanisms can lead to bit errors in Flash memories. An extensive list of these mechanisms as enlisted in [1] includes program disturb from tunneling, quantum level noise effects, erratic tunneling, SILC-related data retention and read disturb, and detrapping-induced retention. Each of these effects can be modeled as a random event with its own statistical behavior. Due to the process uncertainties in the lithography, the above mechanisms vary from die to die leading to variability in the raw bit error rate (BER) for different dies of the Flash memory. This has an immense impact on design of error correction coding (ECC) schemes which combat the BER to achieve a specified uncorrectable bit error rate (UBER) target. If conventional ECC techniques are used, they have to be designed to handle the worst die BER, which is a big overkill. We propose a new LDPC coding scheme which exploits the BER diversity to its advantage and enables a system design for the average BER of the dies. The method is based on spreading the LDPC codeword over dies rather than packing a single LDPC codeword in one die. The system has to properly select the dies between which to split the LDPC codeword. The LDPC decoding has to be modified to account for the BER diversity. Simulations results show a large coding gain resulting from spreading a codeword, with minimal quality of service (QoS) impact. The improvement stems from the fact that the codeword splitting reduces the mean and the variance of the BER distribution. We also propose an LDPC code design which is customized to the codeword split across multiple dies. The proposed LDPC code design is on similar lines to its design for quasi-static fading channel. The LDPC code can be designed using density evolution to obtain an optimal degree distribution for a given BER distribution. Simulation results for the custom-designed LDPC codes validate the hypothesis by showing appreciable coding gains.",,28-31 Jan.,10.1109/ICCNC.2013.6504218,https://ieeexplore.ieee.org/document/6504218
ieee:6509569,conference,"A 6.72-Gb/s, 8pJ/bit/iteration WPAN LDPC decoder in 65nm CMOS",✅,D. WPAN용 65nm LDPC 디코더이나 modified-PCM 메시지 permutation 전략은 NAND 디코더 HW에 이식 가능,🔧 하드웨어 수정만,"Zhixiang Chen, Xiao Peng, Xiongxin Zhao, Leona Okamura, Dajiang Zhou, Satoshi Goto","An LDPC decoder in 65nm CMOS targeting WPAN (IEEE 802.15.3c) is presented with measurement results. A modified-PCM based message permutation strategy with compatible data flow is proposed to solve the network problem raised by high parallelism LDPC decoding. Compared to the state-of-art, decoder chip achieves 17.7%, 33.5% and 49% improvements in chip density, gate count and energy efficiency, respectively.",,22-25 Jan.,10.1109/ASPDAC.2013.6509569,https://ieeexplore.ieee.org/document/6509569
ieee:6509567,conference,Highly reliable solid-state drives (SSDs) with error-prediction LDPC (EP-LDPC) architecture and error-recovery scheme,✅,"A. SSD용 error-prediction LDPC 아키텍처+VTH/retention 기반 보정, NAND 직접",✅ 알고리즘/코드 기여,"Shuhei Tanakamaru, Yuki Yanagihara, Ken Takeuchi","11-times extended lifetime, 76% reduced error SSD is proposed. The error-prediction LDPC realizes both 7-times faster read and high reliability. Errors are most efficiently corrected by calibrating memory data based on the VTH, inter-cell coupling, write/erase cycles and data-retention time. The error-recovery scheme with a program-disturb error-recovery pulse and a data-retention error-recovery pulse is also proposed to reduce the program-disturb error and the data-retention error by 76% and 56%, respectively.",,22-25 Jan.,10.1109/ASPDAC.2013.6509567,https://ieeexplore.ieee.org/document/6509567
ieee:6469347,conference,Hierarchical Modulation to Support Low-Density Parity-Check Code Design?,✅,계층 변조에 최적화된 irregular LDPC의 변수노드 차수분포 LP 설계; 바이너리 LDPC 코드설계(E) 기법 이식 가능성으로 살림,✅ 알고리즘/코드 기여,"Alexandra Filip, Werner Henkel",We study variable node degree distributions resulting from a linear programming approach for designing a lowdensity parity-check (LDPC) code optimized for an irregular modulation alphabet. We opt for an irregular LDPC code and make use of the irregularities of the channel in the sense of different modulation classes originating especially from different distances in a hierarchical modulation signal set. Our aim is to investigate if differences in equivalent binary channels as given by hierarchical modulation signal sets would in any way support resulting variable node degree distributions.,,21-24 Jan.,,https://ieeexplore.ieee.org/document/6469347
ieee:6468978,conference,Breaking Cycles with Dummy Bits: Improved Rate-Compatible LDPC Codes with Short Block Lengths,✅,E. dummy bit 삽입으로 short cycle 제거하는 rate-compatible LDPC 구성 신규 기법,✅ 알고리즘/코드 기여,"Moritz Beermann, Peter Vary","It is well-known that the presence of cycles in a factor graph degrades the performance of message-passing algorithms due to the violation of the assumption of statistical independence of messages. While finding and counting all cycles in a graph is a very hard problem, efficient algorithms have been proposed recently to find all short cycles up to some maximum length. For the message-passing decoding of Low-Density Parity-Check (LDPC) codes, these short cycles are the main cause for the existing performance gap to optimal Maximum Likelihood (ML) decoding. In this paper, we exploit this observation in the proposed novel method of realizing rate-compatible (RC) LDPC codes with short block lengths by inserting known dummy bits into the information bit sequence before encoding. This technique can be seen as a special case of traditional code shortening and allows to achieve lower code rates using one fixed rate mother code. The novelty of the proposed method lies in the selection of the specific dummy bit positions in a way that ""breaks"" a significant number of short cycles in the mother code's graph which, thus, no longer degrade the decoding performance.",,21-24 Jan.,,https://ieeexplore.ieee.org/document/6468978
ieee:6469365,conference,Combining Spatially Coupled LDPC Codes with Modulation and Detection,✅,공간결합(SC) LDPC 부호 설계 철학(degree profile vs universal behavior) 논의 — E 코드설계 이식 가능,✅ 알고리즘/코드 기여,"Laurent Schmalen, Stephan ten Brink","We illustrate the performance of terminated convolutional LDPC codes in combination with spectrally efficient modulation (as a generic front-end), and show that classic LDPC design philosophies of optimizing degree profiles (and thus seeking for irregularity) are becoming less relevant for spatially coupled codes. We show that with very simple codes (even if regular) we can observe a ""universal"" behavior, which means that the code performs well regardless of the channel or the detector characteristic.We give two examples of simple coding schemes with one illustrating the universal behavior and show by a simulative example the performance in a practical scenario. We also try to give a pictorial illustration of convergence mechanisms of spatially coupled codes, and distinguish between two different regimes that we coin micro- and macro-convergence, respectively.",,21-24 Jan.,,https://ieeexplore.ieee.org/document/6469365
ieee:6469366,conference,PG-LDPCC Codes in Turbo Equalizer Systems - A Study on the Influence of Design Parameters of Terminated Convolutional Protographs,✅,"protograph 기반 LDPC convolutional 부호 설계 파라미터(ms, L) 분석 — E 코드설계 이식 가능(단 turbo equalizer 응용은 부수)",✅ 알고리즘/코드 기여,"Patrick Grosa, Gerhard Fettweis","This paper deals with the study of parameter variations of protograph-based low-density parity-check convolutional codes (PG-LDPCCC) for a transmission system incorporating linear mapping and the turbo equalization approach. LDPCCCs in general raised a lot of attention recently due to their very good error correction performance. In this work the focus lies on codes derived from protographs due to the opportunity to use a tool called density evolution for the analysis. In order to produce convolutional variants two different parameters (syndrome former memory ms, termination length L) play an important role. Throughout this paper, the influence of these parameters is analyzed by means of EXIT-Charts andMonte-Carlo-Simulations and their influences on the unwrapped graph are discussed. Although both parameters have an impact on the shape of transfer curves, and therefore on the overall performance, the memory has a more dominant effect on the shape, especially at the start of the iterative process when a-prioi information is low. However in order to reduce the rate loss, which depends on both parameters, for a fixed permutation size and ms, the termination length L must be increased which in turn increases the code length.",,21-24 Jan.,,https://ieeexplore.ieee.org/document/6469366
ieee:6469363,conference,Design of LDPC Codes for Hybrid 10 Gbps/100 Gbps Optical Systems with Optional Differential Modulation,✅,광통신용 irregular LDPC를 EXIT 차트로 설계; 바이너리 LDPC 코드설계(E)·turbo iteration 기법 이식 가능성으로 살림,✅ 알고리즘/코드 기여,"Doris Pflueger, Gerhard Bauch, Fabian N. Hauske, Zhao Yu","For 100 Gbit/s fiber optical long-haul transmission systems, digital signal processing and forward error correction (FEC) coding play an increasingly important role. A major problem for actually desired coherent detection is the occurrence of phase slips caused by imperfect carrier phase recovery. Differential modulation can help to overcome the problem of phase slips on the expense of a performance degradation referred to as differential penalty. On the other hand, differential modulation allows to apply an iterative detection scheme, where extrinsic information is exchanged among FEC decoder and differential detector. In this paper, we address the fundamental question, under which conditions with respect to code rate and complexity it is possible to design irregular low density parity check (LDPC) codes which allow to compensate or even overcompensate for the differential penalty by turbo iterations. The optimum LDPC codes are in general different for coherent and differential detection. However, e.g. in hybrid 100 Gbit/s channels with adjacent 10 Gbit/s channels differential detection is preferred due to the high phase slip probability. In contrast, pure 100 Gbit/s channels typically do not require differential decoding. Therefore, the operators wish to switch between coherent and differential transmission depending on the current channel conditions without changing the FEC code. The main contribution of the paper is the extrinsic information transfer (EXIT) chart based design and analysis of LDPC codes which provide the best performance in both differential and nondifferential detection.",,21-24 Jan.,,https://ieeexplore.ieee.org/document/6469363
ieee:6674526,conference,Signal processing techniques for reliability improvement of sub-20NM NAND flash memory,✅,"A. 서브-20nm NAND 신뢰성 신호처리(임계전압분포 추정, 셀간간섭 제거, 멀티레벨 센싱) - NAND ECC LLR 직결",✅ 알고리즘/코드 기여,"D. -h. Lee, J. Kim, W. Sung","The capacity of NAND flash memory has been continuously increased by adopting process technology scaling and multi-level cell (MLC) data coding. However, the reliability of stored data becomes a very important issue because the scaled feature size lowers the number of electrons at each floating-gate while increasing the cell-to-cell interference. In this paper, we review recent advances in signal processing techniques for reliability improvement of sub-20 nm NAND flash memory, which includes estimation of the threshold voltage distribution, cell-to-cell interference cancellation, and optimal multi-level memory sensing. We also present experimental results for the explained signal processing algorithms. Especially, we demonstrate the reliability improvement when combining all these techniaues.","Ash, Sensors, Threshold voltage, Bit error rate, Signal processing algorithms, Error correction",2013,10.1109/SiPS.2013.6674526,https://ieeexplore.ieee.org/document/6674526
ieee:6737085,conference,Iterative multiuser joint decoding based on ADMM,✅,"ADMM/LP 기반 디코딩 알고리즘 — sum-product 대안 디코더로 바이너리 LDPC BP에 이식 여지(C), 애매하여 살림",✅ 알고리즘/코드 기여,"S. Horii, T. Suko, T. Matsushima, S. Hirasawa","In this paper, we develop an iterative multiuser joint decoding of code-division multiple-access (CDMA) signals based on a distributed optimization algorithm. For the joint decoding problem, decoding algorithm based on the turbo principle is widely used. The algorithm consists of soft-input soft-output (SISO) channel decoder and SISO multiuser detector and it can be derived as an application of the sum-product algorithm. On the other hand, in the research area of error correcting codes, the decoding algorithm based on convex optimization has been attracting a great deal of attention. Decoding algorithm based on linear programming (LP) has decoding error rate which is comparable with sum-product algorithm with stronger theoretical guarantees. We formulate the joint decoding problem of CDMA signals as an convex optimization problem and we present a relax form of the problem. Moreover, we propose a distributed algorithm which efficiently solves the relaxed optimization problem. The proposed algorithm is based on alternating direction method of multipliers (ADMM). We also see the performance of the proposed decoder through numerical simulations.","Decoding, Iterative decoding, Multiaccess communication, Joints, Linear programming, Optimization, Multiuser detection",2013,10.1109/GlobalSIP.2013.6737085,https://ieeexplore.ieee.org/document/6737085
ieee:6810498,conference,Soft-input soft-output linear programming decoding for spread spectrum underwater acoustic communications,✅,SISO LP 디코더 제안 - pseudo-codeword 기반 soft정보가 BP보다 우수한 채널추정. 부호 비의존 LP 디코딩 기법으로 바이너리 LDPC 이식 가능(C),✅ 알고리즘/코드 기여,E. L. Daly,"This paper presents the soft-input soft-output (SISO) linear programming (LP) decoder. It is shown that the soft information gleaned from a pseudo-codeword solution to the LP optimization is not only useful, but that it can be used to form a superior channel estimate compared to the output from a SISO belief propagation (BP) decoder in certain situations.","Decoding, Receivers, Channel estimation, Iterative decoding, Linear programming, Underwater acoustics",2013,10.1109/ACSSC.2013.6810498,https://ieeexplore.ieee.org/document/6810498
ieee:6502922,conference,Trapping set structure of LDPC codes on finite geometries,✅,"FG-LDPC trapping set 구조 기하학적 분석, error floor 관련 바이너리 코드설계(E) 이식 가능",✅ 알고리즘/코드 기여,"Q. Diao, Y. Y. Tai, S. Lin, K. Abdel-Ghaffar","The trapping set structure of LDPC codes constructed based on finite geometries, called finite geometry (FG) LDPC codes, is analyzed using a geometric approach. In this approach, trapping sets in the Tanner graph of an FG-LDPC code are represented by subgeometries of the geometry based on which the code is constructed. Using this geometrical representation, bounds and configurations of trapping sets of an FG-LDPC code can be derived and analyzed.","Charge carrier processes, Geometry, Iterative decoding, Decoding, Hafnium, AWGN channels",2013,10.1109/ITA.2013.6502922,https://ieeexplore.ieee.org/document/6502922
ieee:6502951,conference,Trapping set structure of LDPC codes on finite geometries,✅,"FG-LDPC trapping set 구조의 기하학적 분석·bound 도출 → error floor·코드설계(E) 이식 가능, 바이너리 LDPC",✅ 알고리즘/코드 기여,"Q. Diao, Y. Y. Tai, S. Lin, K. Abdel-Ghaffar","The trapping set structure of LDPC codes constructed based on finite geometries, called finite geometry (FG) LDPC codes, is analyzed using a geometric approach. In this approach, trapping sets in the Tanner graph of an FG-LDPC code are represented by subgeometries of the geometry based on which the code is constructed. Using this geometrical representation, bounds and configurations of trapping sets of an FG-LDPC code can be derived and analyzed.","Charge carrier processes, Geometry, Iterative decoding, Decoding, Hafnium, AWGN channels",2013,10.1109/ITA.2013.6502951,https://ieeexplore.ieee.org/document/6502951
ieee:6533101,conference,Implementation of coded modulation and FEC,✅,"LDPC convolutional(SC-LDPC) 기반 soft-decision FEC의 BICM 구현·복잡도 비교 — SC-LDPC 구성/HW 구현 측면(D/E) 이식 가능성, 애매하여 Phase3 재검토",✅ 알고리즘/코드 기여,"D. Chang, Fan Yu, Zhiyu Xiao, N. Stojanovic, Changsong Xie, Liangchuan Li, Xiaogeng Xu, Qianjin Xiong",We discuss implementation aspects of LDPC based soft-decision FEC schemes for high speed optical systems. Several BICM schemes with LDPC convolutional codes are proposed and compared in respects of both performance and implementation complexity.,"Decoding, Modulation, Complexity theory, Wires, Bit error rate, Iterative decoding",2013,,https://ieeexplore.ieee.org/document/6533101
ieee:6572187,conference,Muller C-element based Decoder (MCD): A decoder against transient faults,✅,"Muller C-element 기반 LDPC 디코더(BP 대안) HW 구조, (3,6) LDPC에서 bit-flipping 대비 성능 이득 — 이식 가능 디코더/HW(C/D)",✅ 알고리즘/코드 기여,"Y. Tang, E. Boutillon, C. Winstead, C. Jégo, M. Jézéquel","This work extends the analysis and application of a digital error correction method called Muller C-element Decoding (MCD), which has been proposed for fault masking in logic circuits comprised of unreliable elements. The proposed technique employs cascaded Muller C-elements and XOR gates to achieve efficient error-correction in the presence of internal upsets. The error-correction analysis of MCD architecture and the investigation of C-element's robustness are first introduced. We demonstrate that the MCD is able to produce error-correction benefit in a high error-rate of internal faults. Significantly, for a (3,6) short-length Low Density Parity Check (LDPC) code, when the decoding process is internally error-free the MCD achieves also a gain in terms of decoding performance by comparison to the well-known Gallager Bit-Flipping method. We further consider application of MCD to a general-purpose fault-tolerant model, coded Dual Modular Redundancy (cDMR), which offers low-redundancy error-resilience for contemporary logic systems as well as future nanoeletronic architectures.","Decoding, Circuit faults, Logic gates, Iterative decoding, Robustness, Computer architecture",2013,10.1109/ISCAS.2013.6572187,https://ieeexplore.ieee.org/document/6572187
ieee:6678434,conference,VLSI techniques for fault secure encoder and decoder in nano memory applications,✅,메모리용 EG-LDPC 기반 fault-secure encoder/decoder VLSI; 바이너리 LDPC 코드설계+HW 이식 가능,🔧 하드웨어 수정만,"M. Chandrasekar, P. Dhinakar",Memory are largely affected by soft errors and do so the the encoder and decoder circuitry around the memory. In this paper we address the issue by going for a newly designed FSD with a new class of error correcting codes named EG-LDPC. The mechanism by which the codes detect faults is clearly demonstrated. Larger codes have been used in nano scale and brings about more reliability and low area overhead.,"Circuit faults, Detectors, Error correction codes, Vectors, Decoding, Integrated circuit reliability",2013,10.1109/ICOISS.2013.6678434,https://ieeexplore.ieee.org/document/6678434
